code,name,department_code,description
25612,Ricaurte,25,Ricaurte
25645,San Antonio Del Tequendama,25,San Antonio Del Tequendama
25649,San Bernardo,25,San Bernardo
25653,San Cayetano,25,San Cayetano
25658,San Francisco,25,San Francisco
25662,San Juan De Rioseco,25,San Juan De Rioseco
25718,Sasaima,25,Sasaima
25736,Sesquilé,25,Sesquilé
25740,Sibaté,25,Sibaté
25743,Silvania,25,Silvania
25745,Simijaca,25,Simijaca
25754,Soacha,25,Soacha
25758,Sopó,25,Sopó
25769,Subachoque,25,Subachoque
25772,Suesca,25,Suesca
25777,Supatá,25,Supatá
25779,Susa,25,Susa
25781,Sutatausa,25,Sutatausa
25785,Tabio,25,Tabio
25793,Tausa,25,Tausa
25797,Tena,25,Tena
25799,Tenjo,25,Tenjo
25805,Tibacuy,25,Tibacuy
25807,Tibirita,25,Tibirita
25815,Tocaima,25,Tocaima
25817,Tocancipá,25,Tocancipá
25823,Topaipí,25,Topaipí
25839,Ubalá,25,Ubalá
25841,Ubaque,25,Ubaque
25843,Villa De San Diego De Ubaté,25,Villa De San Diego De Ubaté
25845,Une,25,Une
25851,Útica,25,Útica
25862,Vergara,25,Vergara
25867,Vianí,25,Vianí
25871,Villagómez,25,Villagómez
25873,Villapinzón,25,Villapinzón
25875,Villeta,25,Villeta
25878,Viotá,25,Viotá
25885,Yacopí,25,Yacopí
25898,Zipacón,25,Zipacón
25899,Zipaquirá,25,Zipaquirá
27001,Quibdó,27,Quibdó
27006,Acandí,27,Acandí
27025,Alto Baudó,27,Alto Baudó
27050,Atrato,27,Atrato
27073,Bagadó,27,Bagadó
27075,Bahía Solano,27,Bahía Solano
27077,Bajo Baudó,27,Bajo Baudó
27099,Bojayá,27,Bojayá
27135,El Cantón Del San Pablo,27,El Cantón Del San Pablo
27150,Carmen Del Darién,27,Carmen Del Darién
27160,Cértegui,27,Cértegui
27205,Condoto,27,Condoto
27245,El Carmen De Atrato,27,El Carmen De Atrato
27250,El Litoral Del San Juan,27,El Litoral Del San Juan
27361,Istmina,27,Istmina
27372,Juradó,27,Juradó
27413,Lloró,27,Lloró
27425,Medio Atrato,27,Medio Atrato
27430,Medio Baudó,27,Medio Baudó
27450,Medio San Juan,27,Medio San Juan
27491,Nóvita,27,Nóvita
27495,Nuquí,27,Nuquí
27580,Río Iró,27,Río Iró
27600,Río Quito,27,Río Quito
27615,Riosucio,27,Riosucio
27660,San José Del Palmar,27,San José Del Palmar
27745,Sipí,27,Sipí
27787,Tadó,27,Tadó
27800,Unguía,27,Unguía
27810,Unión Panamericana,27,Unión Panamericana
41001,Neiva,41,Neiva
41006,Acevedo,41,Acevedo
41013,Agrado,41,Agrado
41016,Aipe,41,Aipe
41020,Algeciras,41,Algeciras
41026,Altamira,41,Altamira
41078,Baraya,41,Baraya
41132,Campoalegre,41,Campoalegre
41206,Colombia,41,Colombia
41244,Elías,41,Elías
41298,Garzón,41,Garzón
41306,Gigante,41,Gigante
41319,Guadalupe,41,Guadalupe
41349,Hobo,41,Hobo
41357,Íquira,41,Íquira
41359,Isnos,41,Isnos
41378,La Argentina,41,La Argentina
41396,La Plata,41,La Plata
41483,Nátaga,41,Nátaga
41503,Oporapa,41,Oporapa
41518,Paicol,41,Paicol
41524,Palermo,41,Palermo
41530,Palestina,41,Palestina
41548,Pital,41,Pital
41551,Pitalito,41,Pitalito
41615,Rivera,41,Rivera
41660,Saladoblanco,41,Saladoblanco
41668,San Agustín,41,San Agustín
41676,Santa María,41,Santa María
41770,Suaza,41,Suaza
41791,Tarqui,41,Tarqui
41797,Tesalia,41,Tesalia
41799,Tello,41,Tello
41801,Teruel,41,Teruel
41807,Timaná,41,Timaná
41872,Villavieja,41,Villavieja
41885,Yaguará,41,Yaguará
44001,Riohacha,44,Riohacha
44035,Albania,44,Albania
44078,Barrancas,44,Barrancas
44090,Dibulla,44,Dibulla
44098,Distracción,44,Distracción
44110,El Molino,44,El Molino
44279,Fonseca,44,Fonseca
44378,Hatonuevo,44,Hatonuevo
44420,La Jagua Del Pilar,44,La Jagua Del Pilar
44430,Maicao,44,Maicao
44560,Manaure,44,Manaure
44650,San Juan Del Cesar,44,San Juan Del Cesar
44847,Uribia,44,Uribia
44855,Urumita,44,Urumita
44874,Villanueva,44,Villanueva
47001,Santa Marta,47,Santa Marta
47030,Algarrobo,47,Algarrobo
47053,Aracataca,47,Aracataca
47058,Ariguaní,47,Ariguaní
47161,Cerro De San Antonio,47,Cerro De San Antonio
47170,Chivolo,47,Chivolo
47189,Ciénaga,47,Ciénaga
47205,Concordia,47,Concordia
47245,El Banco,47,El Banco
47258,El Piñón,47,El Piñón
47268,El Retén,47,El Retén
47288,Fundación,47,Fundación
47318,Guamal,47,Guamal
47460,Nueva Granada,47,Nueva Granada
47541,Pedraza,47,Pedraza
47545,Pijiño Del Carmen,47,Pijiño Del Carmen
47551,Pivijay,47,Pivijay
47555,Plato,47,Plato
47570,Puebloviejo,47,Puebloviejo
47605,Remolino,47,Remolino
47660,Sabanas De San Ángel,47,Sabanas De San Ángel
47675,Salamina,47,Salamina
47692,San Sebastián De Buenavista,47,San Sebastián De Buenavista
47703,San Zenón,47,San Zenón
47707,Santa Ana,47,Santa Ana
47720,Santa Bárbara De Pinto,47,Santa Bárbara De Pinto
47745,Sitionuevo,47,Sitionuevo
47798,Tenerife,47,Tenerife
47960,Zapayán,47,Zapayán
47980,Zona Bananera,47,Zona Bananera
50001,Villavicencio,50,Villavicencio
50006,Acacías,50,Acacías
50110,Barranca De Upía,50,Barranca De Upía
50124,Cabuyaro,50,Cabuyaro
50150,Castilla La Nueva,50,Castilla La Nueva
50223,Cubarral,50,Cubarral
50226,Cumaral,50,Cumaral
50245,El Calvario,50,El Calvario
50251,El Castillo,50,El Castillo
50270,El Dorado,50,El Dorado
50287,Fuente De Oro,50,Fuente De Oro
50313,Granada,50,Granada
50318,Guamal,50,Guamal
50325,Mapiripán,50,Mapiripán
50330,Mesetas,50,Mesetas
50350,La Macarena,50,La Macarena
50370,Uribe,50,Uribe
50400,Lejanías,50,Lejanías
50450,Puerto Concordia,50,Puerto Concordia
50568,Puerto Gaitán,50,Puerto Gaitán
50573,Puerto López,50,Puerto López
50577,Puerto Lleras,50,Puerto Lleras
50590,Puerto Rico,50,Puerto Rico
50606,Restrepo,50,Restrepo
50680,San Carlos De Guaroa,50,San Carlos De Guaroa
50683,San Juan De Arama,50,San Juan De Arama
50686,San Juanito,50,San Juanito
50689,San Martín,50,San Martín
50711,Vistahermosa,50,Vistahermosa
52001,Pasto,52,San Juan de Pasto
52019,Albán,52,Albán
52022,Aldana,52,Aldana
52036,Ancuyá,52,Ancuyá
52051,Arboleda,52,Arboleda
52079,Barbacoas,52,Barbacoas
